date,1. open,2. high,3. low,4. close,5. volume
2014-10-20,1.8407,1.8422,1.8306,1.8406,0.0
2014-10-19,1.8374,1.8411,1.8328,1.8377,0.0
2014-10-16,1.8342,1.8405,1.8296,1.8346,0.0
2014-10-15,1.8178,1.8399,1.8148,1.818,0.0
2014-10-14,1.8243,1.8294,1.8124,1.8245,0.0
2014-10-13,1.8352,1.8383,1.8201,1.8343,0.0
2014-10-12,1.854,1.8586,1.8315,1.8541,0.0
2014-10-09,1.8394,1.8441,1.8357,1.8394,0.0
2014-10-08,1.8285,1.8385,1.8198,1.8282,0.0
2014-10-07,1.8264,1.8367,1.8231,1.8257,0.0
2014-10-06,1.8325,1.8375,1.8226,1.8326,0.0
2014-10-05,1.8422,1.8428,1.8284,1.8419,0.0
2014-10-02,1.8366,1.8453,1.8302,1.8369,0.0
2014-10-01,1.8512,1.8514,1.8345,1.8511,0.0
2014-09-30,1.8548,1.868,1.8543,1.8552,0.0
2014-09-29,1.8641,1.8663,1.8525,1.8633,0.0
2014-09-28,1.8589,1.8671,1.8571,1.8585,0.0
2014-09-25,1.8543,1.8627,1.8496,1.8546,0.0
2014-09-24,1.8425,1.8578,1.841,1.842,0.0
2014-09-23,1.8511,1.8535,1.8407,1.8511,0.0
2014-09-22,1.8434,1.8511,1.8348,1.8436,0.0
2014-09-21,1.8244,1.8451,1.8244,1.8249,0.0
2014-09-18,1.8283,1.8469,1.819,1.8295,0.0
2014-09-17,1.815,1.8319,1.8125,1.8155,0.0
2014-09-16,1.7908,1.8098,1.7897,1.7902,0.0
2014-09-15,1.7958,1.802,1.7891,1.7955,0.0
2014-09-14,1.8037,1.8077,1.7951,1.8035,0.0
2014-09-11,1.7856,1.7967,1.7854,1.7858,0.0
2014-09-10,1.769,1.7838,1.7579,1.7686,0.0
2014-09-09,1.7505,1.7674,1.7495,1.7508,0.0
2014-09-08,1.7345,1.7513,1.7335,1.7344,0.0
2014-09-07,1.731,1.7382,1.7213,1.7314,0.0
2014-09-04,1.7454,1.7474,1.7368,1.745,0.0
2014-09-03,1.7625,1.763,1.7457,1.7622,0.0
2014-09-02,1.7749,1.7766,1.7592,1.7749,0.0
2014-09-01,1.7804,1.786,1.7776,1.7796,0.0
2014-08-31,1.7781,1.7808,1.7759,1.7783,0.0
2014-08-28,1.7738,1.7775,1.7718,1.7733,0.0
2014-08-27,1.7752,1.7765,1.7698,1.7751,0.0
2014-08-26,1.7755,1.778,1.7732,1.7758,0.0
2014-08-25,1.7857,1.7867,1.777,1.7856,0.0
2014-08-24,1.7797,1.7849,1.7764,1.7793,0.0
2014-08-21,1.782,1.7829,1.7775,1.782,0.0
2014-08-20,1.7873,1.7939,1.7824,1.7872,0.0
2014-08-19,1.7873,1.7941,1.7835,1.787,0.0
2014-08-18,1.7936,1.7942,1.7802,1.7934,0.0
2014-08-17,1.7944,1.7966,1.7918,1.7945,0.0
2014-08-14,1.7912,1.7943,1.7875,1.7909,0.0
2014-08-13,1.793,1.7956,1.7891,1.7928,0.0
2014-08-12,1.8128,1.8129,1.7927,1.8131,0.0
2014-08-11,1.8116,1.814,1.8088,1.8117,0.0
2014-08-10,1.8079,1.8125,1.8067,1.8076,0.0
2014-08-07,1.8162,1.8184,1.8081,1.8164,0.0
2014-08-06,1.8031,1.819,1.8015,1.803,0.0
2014-08-05,1.8139,1.8157,1.804,1.8141,0.0
2014-08-04,1.8073,1.8139,1.8038,1.8073,0.0
2014-08-03,1.807,1.8072,1.8038,1.8068,0.0
2014-07-31,1.8158,1.8183,1.8055,1.8158,0.0
2014-07-30,1.8131,1.8172,1.813,1.8129,0.0
2014-07-29,1.8054,1.8147,1.8049,1.8054,0.0
2014-07-28,1.8043,1.8081,1.8028,1.8043,0.0
2014-07-27,1.8063,1.809,1.8042,1.806,0.0
2014-07-24,1.8036,1.8064,1.8023,1.8039,0.0
2014-07-23,1.8043,1.8055,1.7985,1.8043,0.0
2014-07-22,1.8175,1.8187,1.8009,1.8172,0.0
